[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 40/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 41/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 42/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 43/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 44/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 45/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 46/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 47/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 48/94
[2025-05-19 14:30:28] [INFO] [Stage: Processing file: Mandiri Indeks FTSE Indonesia ESG Kelas A_extracted | Task: Creating chunks for document: Mandiri Indeks FTSE Indonesia ESG Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 49/94
