[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 50/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 51/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 52/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 53/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 54/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 55/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 56/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 57/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 58/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 59/125
