[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_93f7550b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_0da7b45b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_ffb31ebd already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_f11fe3bf already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_3649bc6c already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_26b4d33a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_5d665af8 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_b0f93136 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_43044487 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_cd0f093c already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131848_c74a60cc already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131848_8e915480 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131852_d875a586 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131852_69f310ed already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131859_a7e08ae9 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131859_09b30189 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131902_893bbe8c already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131902_36b8ec63 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_409742c0 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_92e3fb8e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_3d77e702 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_3fb7526b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_e1815107 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_5a24ae33 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_cda1c95f already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_169851f5 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_98c4fb4e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_9dd2ab1a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_a2941f0c already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_5b490e86 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_e0e7f8e2 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_c8a51623 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_323a97b3 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_0b1c2b0d already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_dc66fb54 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_42b5b12c already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_3a00db5d already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_3694c8cd already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_735a4e47 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_63edccf6 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_0c55237a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_10ec5040 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_96b10fcd already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_e969181a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_36d85251 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131912_5320fff2 already in index.json
