Pergeseran ke,Periode,Nilai,Tanggal
32,3M,"Rp1,456.39",12 Nov 24
32,1M,"Rp1,466.14",30 Des 24
32,3Y,"Rp1,307.04",14 Jul 22
32,YTD,"Rp1,467.08",3 Jan 25
35,5Y,"Rp1,242.61",4 Des 20
33,3M,"Rp1,456.39",12 Nov 24
33,ALL,"Rp1,078.42",16 Jul 18
33,1M,"Rp1,466.14",30 Des 24
33,3Y,"Rp1,307.77",20 Jul 22
33,YTD,"Rp1,467.76",6 Jan 25
36,5Y,"Rp1,244.93",15 Des 20
34,ALL,"Rp1,080.75",31 Jul 18
34,3M,"Rp1,456.39",12 Nov 24
34,1M,"Rp1,466.14",30 Des 24
34,3Y,"Rp1,307.86",26 Jul 22
34,YTD,"Rp1,467.76",6 Jan 25
37,5Y,"Rp1,246.25",28 Des 20
35,ALL,"Rp1,084.01",20 Agt 18
35,3M,"Rp1,456.39",12 Nov 24
35,1M,"Rp1,466.14",30 Des 24
35,3Y,"Rp1,310.20",1 Agt 22
35,YTD,"Rp1,467.76",6 Jan 25
38,5Y,"Rp1,247.13",5 Jan 21
36,3M,"Rp1,456.39",12 Nov 24
36,ALL,"Rp1,086.33",3 Sep 18
36,1M,"Rp1,466.14",30 Des 24
36,3Y,"Rp1,311.08",8 Agt 22
36,YTD,"Rp1,467.76",6 Jan 25
39,5Y,"Rp1,248.51",15 Jan 21
37,ALL,"Rp1,089.30",18 Sep 18
37,3M,"Rp1,456.39",12 Nov 24
37,1M,"Rp1,466.14",30 Des 24
37,3Y,"Rp1,312.57",15 Agt 22
37,YTD,"Rp1,467.76",6 Jan 25
40,5Y,"Rp1,250.15",26 Jan 21
38,3M,"Rp1,456.39",12 Nov 24
38,ALL,"Rp1,092.30",5 Okt 18
38,1M,"Rp1,466.14",30 Des 24
38,3Y,"Rp1,313.22",22 Agt 22
38,YTD,"Rp1,467.76",6 Jan 25
41,5Y,"Rp1,251.61",5 Feb 21
39,ALL,"Rp1,095.37",22 Okt 18
39,3M,"Rp1,456.39",12 Nov 24
39,1M,"Rp1,466.78",2 Jan 25
39,3Y,"Rp1,312.55",29 Agt 22
39,YTD,"Rp1,467.76",6 Jan 25
42,5Y,"Rp1,253.44",16 Feb 21
40,3M,"Rp1,456.39",12 Nov 24
40,ALL,"Rp1,098.24",6 Nov 18
40,1M,"Rp1,466.78",2 Jan 25
40,3Y,"Rp1,313.40",2 Sep 22
40,YTD,"Rp1,467.76",6 Jan 25
43,5Y,"Rp1,254.82",26 Feb 21
41,ALL,"Rp1,101.46",23 Nov 18
41,3M,"Rp1,456.54",14 Nov 24
41,1M,"Rp1,466.78",2 Jan 25
41,3Y,"Rp1,314.09",8 Sep 22
41,YTD,"Rp1,467.76",6 Jan 25
44,5Y,"Rp1,256.40",9 Mar 21
42,3M,"Rp1,456.54",14 Nov 24
42,ALL,"Rp1,104.42",10 Des 18
42,1M,"Rp1,466.78",2 Jan 25
42,3Y,"Rp1,314.98",15 Sep 22
42,YTD,"Rp1,467.76",6 Jan 25
45,5Y,"Rp1,257.85",19 Mar 21
43,3M,"Rp1,456.54",14 Nov 24
43,ALL,"Rp1,107.80",26 Des 18
43,1M,"Rp1,466.78",2 Jan 25
43,3Y,"Rp1,315.56",21 Sep 22
43,YTD,"Rp1,467.76",6 Jan 25
46,5Y,"Rp1,259.28",30 Mar 21
44,3M,"Rp1,456.54",14 Nov 24
44,ALL,"Rp1,111.14",11 Jan 19
44,1M,"Rp1,466.78",2 Jan 25
44,3Y,"Rp1,316.30",27 Sep 22
44,YTD,"Rp1,467.76",6 Jan 25
47,5Y,"Rp1,260.50",9 Apr 21
45,ALL,"Rp1,114.65",28 Jan 19
45,3M,"Rp1,456.70",15 Nov 24
45,1M,"Rp1,466.78",2 Jan 25
45,3Y,"Rp1,317.01",3 Okt 22
45,YTD,"Rp1,467.76",6 Jan 25
48,5Y,"Rp1,261.82",20 Apr 21
46,3M,"Rp1,456.70",15 Nov 24
46,ALL,"Rp1,117.67",12 Feb 19
46,1M,"Rp1,466.78",2 Jan 25
46,3Y,"Rp1,317.84",10 Okt 22
46,YTD,"Rp1,467.76",6 Jan 25
49,5Y,"Rp1,262.96",30 Apr 21
47,3M,"Rp1,457.54",18 Nov 24
47,ALL,"Rp1,121.06",1 Mar 19
47,1M,"Rp1,466.78",2 Jan 25
47,3Y,"Rp1,318.59",17 Okt 22
47,YTD,"Rp1,467.76",6 Jan 25
50,5Y,"Rp1,264.08",11 Mei 21
48,3M,"Rp1,457.54",18 Nov 24
48,ALL,"Rp1,124.44",18 Mar 19
48,1M,"Rp1,466.78",2 Jan 25
48,3Y,"Rp1,318.98",24 Okt 22
48,YTD,"Rp1,467.76",6 Jan 25
51,5Y,"Rp1,265.31",21 Mei 21
49,3M,"Rp1,457.54",18 Nov 24
49,ALL,"Rp1,127.43",2 Apr 19
49,1M,"Rp1,466.78",2 Jan 25
49,3Y,"Rp1,319.90",31 Okt 22
49,YTD,"Rp1,467.76",6 Jan 25
52,5Y,"Rp1,266.61",2 Jun 21
50,ALL,"Rp1,131.34",22 Apr 19
50,3M,"Rp1,457.54",18 Nov 24
50,1M,"Rp1,466.78",2 Jan 25
50,3Y,"Rp1,320.18",4 Nov 22
50,YTD,"Rp1,467.76",6 Jan 25
53,5Y,"Rp1,267.59",11 Jun 21
51,ALL,"Rp1,134.05",6 Mei 19
