period,date,value,offset
5Y,22 Mei 23,"Rp1,353.46",108
5Y,5 Jun 23,"Rp1,355.36",113
5Y,19 Jun 23,"Rp1,357.88",118
5Y,3 Jul 23,"Rp1,360.14",123
5Y,17 Jul 23,"Rp1,362.56",128
5Y,31 Jul 23,"Rp1,364.75",133
5Y,14 Agt 23,"Rp1,366.69",138
5Y,28 Agt 23,"Rp1,368.46",143
5Y,11 Sep 23,"Rp1,369.71",148
5Y,25 Sep 23,"Rp1,372.22",153
5Y,9 Okt 23,"Rp1,374.88",158
5Y,23 Okt 23,"Rp1,377.15",163
5Y,6 Nov 23,"Rp1,379.51",168
5Y,20 Nov 23,"Rp1,382.11",173
5Y,4 Des 23,"Rp1,385.08",178
5Y,18 Des 23,"Rp1,387.92",183
5Y,2 Jan 24,"Rp1,391.33",188
5Y,15 Jan 24,"Rp1,394.10",193
5Y,29 Jan 24,"Rp1,396.93",198
5Y,12 Feb 24,"Rp1,399.73",203
5Y,26 Feb 24,"Rp1,402.48",208
5Y,13 Mar 24,"Rp1,405.83",213
5Y,25 Mar 24,"Rp1,408.30",218
5Y,16 Apr 24,"Rp1,412.54",223
5Y,22 Apr 24,"Rp1,413.73",228
5Y,6 Mei 24,"Rp1,415.93",233
5Y,20 Mei 24,"Rp1,419.63",238
5Y,3 Jun 24,"Rp1,422.86",243
5Y,19 Jun 24,"Rp1,424.79",248
5Y,1 Jul 24,"Rp1,427.52",253
5Y,15 Jul 24,"Rp1,430.55",258
5Y,29 Jul 24,"Rp1,433.77",263
5Y,12 Agt 24,"Rp1,436.33",268
5Y,26 Agt 24,"Rp1,439.36",273
5Y,9 Sep 24,"Rp1,442.56",278
5Y,23 Sep 24,"Rp1,446.19",283
5Y,7 Okt 24,"Rp1,449.23",288
5Y,21 Okt 24,"Rp1,451.91",293
5Y,4 Nov 24,"Rp1,454.72",298
5Y,18 Nov 24,"Rp1,457.54",303
5Y,2 Des 24,"Rp1,460.60",308
5Y,17 Des 24,"Rp1,463.29",313
5Y,30 Des 24,"Rp1,466.14",318
5Y,13 Jan 25,"Rp1,469.33",323
5Y,22 Jan 25,"Rp1,472.02",328
5Y,22 Jan 25,"Rp1,472.02",333
5Y,22 Jan 25,"Rp1,472.02",338
5Y,22 Jan 25,"Rp1,472.02",343
