period,date,value,offset
5Y,24 Jan 25,"Rp1,472.58",101
5Y,24 Jan 25,"Rp1,472.58",106
5Y,24 Jan 25,"Rp1,472.58",111
5Y,24 Jan 25,"Rp1,472.58",116
5Y,24 Jan 25,"Rp1,472.58",121
5Y,24 Jan 25,"Rp1,472.58",126
5Y,24 Jan 25,"Rp1,472.58",131
5Y,24 Jan 25,"Rp1,472.58",136
5Y,24 Jan 25,"Rp1,472.58",141
5Y,24 Jan 25,"Rp1,472.58",146
5Y,24 Jan 25,"Rp1,472.58",151
5Y,24 Jan 25,"Rp1,472.58",156
5Y,24 Jan 25,"Rp1,472.58",161
5Y,24 Jan 25,"Rp1,472.58",166
5Y,24 Jan 25,"Rp1,472.58",171
5Y,24 Jan 25,"Rp1,472.58",176
5Y,24 Jan 25,"Rp1,472.58",181
5Y,24 Jan 25,"Rp1,472.58",186
5Y,24 Jan 25,"Rp1,472.58",191
5Y,24 Jan 25,"Rp1,472.58",196
5Y,24 Jan 25,"Rp1,472.58",201
5Y,24 Jan 25,"Rp1,472.58",206
5Y,24 Jan 25,"Rp1,472.58",211
5Y,24 Jan 25,"Rp1,472.58",216
5Y,24 Jan 25,"Rp1,472.58",221
5Y,24 Jan 25,"Rp1,472.58",226
5Y,24 Jan 25,"Rp1,472.58",231
5Y,24 Jan 25,"Rp1,472.58",236
5Y,24 Jan 25,"Rp1,472.58",241
5Y,24 Jan 25,"Rp1,472.58",246
5Y,24 Jan 25,"Rp1,472.58",251
5Y,24 Jan 25,"Rp1,472.58",256
5Y,24 Jan 25,"Rp1,472.58",261
5Y,24 Jan 25,"Rp1,472.58",266
5Y,24 Jan 25,"Rp1,472.58",271
5Y,24 Jan 25,"Rp1,472.58",276
5Y,24 Jan 25,"Rp1,472.58",281
5Y,24 Jan 25,"Rp1,472.58",286
5Y,24 Jan 25,"Rp1,472.58",291
5Y,24 Jan 25,"Rp1,472.58",296
5Y,24 Jan 25,"Rp1,472.58",301
5Y,24 Jan 25,"Rp1,472.58",306
5Y,24 Jan 25,"Rp1,472.58",311
5Y,24 Jan 25,"Rp1,472.58",316
5Y,24 Jan 25,"Rp1,472.58",321
5Y,24 Jan 25,"Rp1,472.58",326
5Y,24 Jan 25,"Rp1,472.58",331
5Y,24 Jan 25,"Rp1,472.58",336
5Y,24 Jan 25,"Rp1,472.58",341
5Y,24 Jan 25,"Rp1,472.58",346
5Y,24 Jan 25,"Rp1,472.58",351
5Y,24 Jan 25,"Rp1,472.58",356
5Y,24 Jan 25,"Rp1,472.58",361
5Y,24 Jan 25,"Rp1,472.58",366
5Y,24 Jan 25,"Rp1,472.58",371
5Y,24 Jan 25,"Rp1,472.58",376
5Y,24 Jan 25,"Rp1,472.58",381
5Y,24 Jan 25,"Rp1,472.58",386
5Y,24 Jan 25,"Rp1,472.58",391
5Y,24 Jan 25,"Rp1,472.58",396
5Y,24 Jan 25,"Rp1,472.58",401
5Y,24 Jan 25,"Rp1,472.58",406
5Y,24 Jan 25,"Rp1,472.58",411
5Y,24 Jan 25,"Rp1,472.58",416
5Y,24 Jan 25,"Rp1,472.58",421
5Y,24 Jan 25,"Rp1,472.58",426
5Y,24 Jan 25,"Rp1,472.58",431
5Y,24 Jan 25,"Rp1,472.58",436
5Y,24 Jan 25,"Rp1,472.58",441
5Y,24 Jan 25,"Rp1,472.58",446
5Y,24 Jan 25,"Rp1,472.58",451
5Y,24 Jan 25,"Rp1,472.58",456
5Y,24 Jan 25,"Rp1,472.58",461
5Y,24 Jan 25,"Rp1,472.58",466
5Y,24 Jan 25,"Rp1,472.58",471
5Y,24 Jan 25,"Rp1,472.58",476
5Y,24 Jan 25,"Rp1,472.58",481
5Y,24 Jan 25,"Rp1,472.58",486
5Y,24 Jan 25,"Rp1,472.58",491
5Y,24 Jan 25,"Rp1,472.58",496
5Y,24 Jan 25,"Rp1,472.58",501
