period,date,value,offset
3Y,15 Nov 23,"Rp1,381.01",68
3Y,23 Nov 23,"Rp1,382.80",73
3Y,4 Des 23,"Rp1,385.08",78
3Y,11 Des 23,"Rp1,386.54",83
3Y,19 Des 23,"Rp1,388.08",88
3Y,27 Des 23,"Rp1,389.89",93
3Y,4 Jan 24,"Rp1,391.61",98
3Y,15 Jan 24,"Rp1,394.10",103
3Y,22 Jan 24,"Rp1,395.49",108
3Y,30 Jan 24,"Rp1,397.24",113
3Y,7 Feb 24,"Rp1,398.72",118
3Y,15 Feb 24,"Rp1,400.33",123
3Y,26 Feb 24,"Rp1,402.48",128
3Y,4 Mar 24,"Rp1,403.95",133
3Y,13 Mar 24,"Rp1,405.83",138
3Y,20 Mar 24,"Rp1,407.30",143
3Y,28 Mar 24,"Rp1,409.04",148
3Y,16 Apr 24,"Rp1,412.54",153
3Y,16 Apr 24,"Rp1,412.54",158
3Y,22 Apr 24,"Rp1,413.73",163
3Y,2 Mei 24,"Rp1,415.27",168
3Y,13 Mei 24,"Rp1,417.49",173
3Y,20 Mei 24,"Rp1,419.63",178
3Y,27 Mei 24,"Rp1,421.24",183
3Y,3 Jun 24,"Rp1,422.86",188
3Y,12 Jun 24,"Rp1,423.49",193
3Y,20 Jun 24,"Rp1,425.09",198
3Y,1 Jul 24,"Rp1,427.52",203
3Y,8 Jul 24,"Rp1,429.21",208
3Y,15 Jul 24,"Rp1,430.55",213
3Y,24 Jul 24,"Rp1,432.55",218
3Y,1 Agt 24,"Rp1,434.22",223
3Y,9 Agt 24,"Rp1,435.73",228
3Y,19 Agt 24,"Rp1,437.79",233
3Y,26 Agt 24,"Rp1,439.36",238
3Y,4 Sep 24,"Rp1,441.33",243
3Y,12 Sep 24,"Rp1,443.29",248
3Y,20 Sep 24,"Rp1,445.60",253
3Y,30 Sep 24,"Rp1,447.85",258
3Y,7 Okt 24,"Rp1,449.23",263
3Y,16 Okt 24,"Rp1,450.88",268
3Y,24 Okt 24,"Rp1,452.61",273
3Y,1 Nov 24,"Rp1,453.96",278
3Y,12 Nov 24,"Rp1,456.39",283
3Y,18 Nov 24,"Rp1,457.54",288
3Y,26 Nov 24,"Rp1,459.30",293
3Y,5 Des 24,"Rp1,460.97",298
3Y,13 Des 24,"Rp1,462.63",303
3Y,23 Des 24,"Rp1,464.35",308
3Y,30 Des 24,"Rp1,466.14",313
3Y,7 Jan 25,"Rp1,468.03",318
3Y,16 Jan 25,"Rp1,470.11",323
3Y,22 Jan 25,"Rp1,472.02",328
3Y,22 Jan 25,"Rp1,472.02",333
3Y,22 Jan 25,"Rp1,472.02",338
3Y,22 Jan 25,"Rp1,472.02",343
