period,date,value,offset
5Y,22 Jan 25,"Rp1,472.02",-219
5Y,22 Jan 25,"Rp1,472.02",-214
5Y,22 Jan 25,"Rp1,472.02",-209
5Y,22 Jan 25,"Rp1,472.02",-204
5Y,22 Jan 25,"Rp1,472.02",-199
5Y,22 Jan 25,"Rp1,472.02",-194
5Y,22 Jan 25,"Rp1,472.02",-189
5Y,22 Jan 25,"Rp1,472.02",-184
5Y,22 Jan 25,"Rp1,472.02",-179
5Y,22 Jan 25,"Rp1,472.02",-174
5Y,22 Jan 25,"Rp1,472.02",-169
5Y,22 Jan 25,"Rp1,472.02",-164
5Y,22 Jan 25,"Rp1,472.02",-159
5Y,22 Jan 25,"Rp1,472.02",-154
5Y,22 Jan 25,"Rp1,472.02",-149
5Y,22 Jan 25,"Rp1,472.02",-144
5Y,22 Jan 25,"Rp1,472.02",-139
5Y,22 Jan 25,"Rp1,472.02",-134
5Y,22 Jan 25,"Rp1,472.02",-129
5Y,22 Jan 25,"Rp1,472.02",-124
5Y,22 Jan 25,"Rp1,472.02",-119
5Y,22 Jan 25,"Rp1,472.02",-114
5Y,22 Jan 25,"Rp1,472.02",-109
5Y,22 Jan 25,"Rp1,472.02",-104
5Y,22 Jan 25,"Rp1,472.02",-99
5Y,22 Jan 25,"Rp1,472.02",-94
5Y,22 Jan 25,"Rp1,472.02",-89
5Y,22 Jan 25,"Rp1,472.02",-84
5Y,22 Jan 25,"Rp1,472.02",-79
5Y,22 Jan 25,"Rp1,472.02",-74
5Y,22 Jan 25,"Rp1,472.02",-69
5Y,22 Jan 25,"Rp1,472.02",-64
5Y,22 Jan 25,"Rp1,472.02",-59
5Y,22 Jan 25,"Rp1,472.02",-54
5Y,22 Jan 25,"Rp1,472.02",-49
5Y,22 Jan 25,"Rp1,472.02",-44
5Y,22 Jan 25,"Rp1,472.02",-39
5Y,22 Jan 25,"Rp1,472.02",-34
5Y,22 Jan 25,"Rp1,472.02",-29
5Y,22 Jan 25,"Rp1,472.02",-24
5Y,22 Jan 25,"Rp1,472.02",-19
5Y,22 Jan 25,"Rp1,472.02",-14
5Y,22 Jan 25,"Rp1,472.02",-9
5Y,22 Jan 25,"Rp1,472.02",-4
5Y,22 Jan 25,"Rp1,472.02",1
5Y,22 Jan 25,"Rp1,472.02",6
5Y,22 Jan 25,"Rp1,472.02",11
5Y,22 Jan 25,"Rp1,472.02",16
5Y,22 Jan 25,"Rp1,472.02",21
5Y,22 Jan 25,"Rp1,472.02",26
5Y,22 Jan 25,"Rp1,472.02",31
5Y,22 Jan 25,"Rp1,472.02",36
5Y,22 Jan 25,"Rp1,472.02",41
5Y,22 Jan 25,"Rp1,472.02",46
5Y,22 Jan 25,"Rp1,472.02",51
5Y,22 Jan 25,"Rp1,472.02",56
5Y,22 Jan 25,"Rp1,472.02",61
5Y,22 Jan 25,"Rp1,472.02",66
5Y,22 Jan 25,"Rp1,472.02",71
5Y,22 Jan 25,"Rp1,472.02",76
5Y,22 Jan 25,"Rp1,472.02",81
5Y,22 Jan 25,"Rp1,472.02",86
5Y,22 Jan 25,"Rp1,472.02",91
5Y,22 Jan 25,"Rp1,472.02",96
5Y,22 Jan 25,"Rp1,472.02",101
5Y,22 Jan 25,"Rp1,472.02",106
5Y,22 Jan 25,"Rp1,472.02",111
5Y,22 Jan 25,"Rp1,472.02",116
5Y,22 Jan 25,"Rp1,472.02",121
5Y,22 Jan 25,"Rp1,472.02",126
5Y,22 Jan 25,"Rp1,472.02",131
5Y,22 Jan 25,"Rp1,472.02",136
5Y,22 Jan 25,"Rp1,472.02",141
5Y,22 Jan 25,"Rp1,472.02",146
5Y,22 Jan 25,"Rp1,472.02",151
5Y,22 Jan 25,"Rp1,472.02",156
5Y,22 Jan 25,"Rp1,472.02",161
5Y,22 Jan 25,"Rp1,472.02",166
5Y,22 Jan 25,"Rp1,472.02",171
5Y,22 Jan 25,"Rp1,472.02",176
5Y,22 Jan 25,"Rp1,472.02",181
5Y,22 Jan 25,"Rp1,472.02",186
5Y,22 Jan 25,"Rp1,472.02",191
5Y,22 Jan 25,"Rp1,472.02",196
5Y,22 Jan 25,"Rp1,472.02",201
5Y,22 Jan 25,"Rp1,472.02",206
5Y,22 Jan 25,"Rp1,472.02",211
5Y,22 Jan 25,"Rp1,472.02",216
5Y,22 Jan 25,"Rp1,472.02",221
5Y,22 Jan 25,"Rp1,472.02",226
5Y,22 Jan 25,"Rp1,472.02",231
5Y,22 Jan 25,"Rp1,472.02",236
5Y,22 Jan 25,"Rp1,472.02",241
5Y,22 Jan 25,"Rp1,472.02",246
5Y,22 Jan 25,"Rp1,472.02",251
5Y,22 Jan 25,"Rp1,472.02",256
5Y,22 Jan 25,"Rp1,472.02",261
5Y,22 Jan 25,"Rp1,472.02",266
5Y,22 Jan 25,"Rp1,472.02",271
5Y,22 Jan 25,"Rp1,472.02",276
5Y,22 Jan 25,"Rp1,472.02",281
5Y,22 Jan 25,"Rp1,472.02",286
5Y,22 Jan 25,"Rp1,472.02",291
5Y,22 Jan 25,"Rp1,472.02",296
5Y,22 Jan 25,"Rp1,472.02",301
5Y,22 Jan 25,"Rp1,472.02",306
5Y,22 Jan 25,"Rp1,472.02",311
5Y,22 Jan 25,"Rp1,472.02",316
5Y,22 Jan 25,"Rp1,472.02",321
5Y,22 Jan 25,"Rp1,472.02",326
5Y,22 Jan 25,"Rp1,472.02",331
5Y,22 Jan 25,"Rp1,472.02",336
5Y,22 Jan 25,"Rp1,472.02",341
5Y,22 Jan 25,"Rp1,472.02",346
5Y,22 Jan 25,"Rp1,472.02",351
5Y,22 Jan 25,"Rp1,472.02",356
5Y,22 Jan 25,"Rp1,472.02",361
5Y,22 Jan 25,"Rp1,472.02",366
5Y,22 Jan 25,"Rp1,472.02",371
5Y,22 Jan 25,"Rp1,472.02",376
5Y,22 Jan 25,"Rp1,472.02",381
5Y,22 Jan 25,"Rp1,472.02",386
5Y,22 Jan 25,"Rp1,472.02",391
5Y,22 Jan 25,"Rp1,472.02",396
5Y,22 Jan 25,"Rp1,472.02",401
5Y,22 Jan 25,"Rp1,472.02",406
5Y,22 Jan 25,"Rp1,472.02",411
5Y,22 Jan 25,"Rp1,472.02",416
5Y,22 Jan 25,"Rp1,472.02",421
5Y,22 Jan 25,"Rp1,472.02",426
5Y,22 Jan 25,"Rp1,472.02",431
5Y,22 Jan 25,"Rp1,472.02",436
5Y,22 Jan 25,"Rp1,472.02",441
5Y,22 Jan 25,"Rp1,472.02",446
5Y,22 Jan 25,"Rp1,472.02",451
5Y,22 Jan 25,"Rp1,472.02",456
5Y,22 Jan 25,"Rp1,472.02",461
5Y,22 Jan 25,"Rp1,472.02",466
5Y,22 Jan 25,"Rp1,472.02",471
5Y,22 Jan 25,"Rp1,472.02",476
5Y,22 Jan 25,"Rp1,472.02",481
5Y,22 Jan 25,"Rp1,472.02",486
5Y,22 Jan 25,"Rp1,472.02",491
5Y,22 Jan 25,"Rp1,472.02",496
5Y,22 Jan 25,"Rp1,472.02",501
