Date,Open,High,Low,Close,Adj Close,Volume
2024-12-04,869.66,885.65,867.25,883.59,883.59,"5,372,500,000"
2024-12-03,855.71,869.33,854.19,869.33,869.33,"7,193,800,000"
2024-12-02,857.54,861.56,843.81,843.81,843.81,"4,772,700,000"
2024-11-29,867.25,870.16,856.78,856.78,856.78,"8,709,700,000"
2024-11-28,874.47,878.70,870.80,873.47,873.47,"7,107,800,000"
2024-11-26,894.57,895.55,879.76,879.76,879.76,"5,287,000,000"
2024-11-25,881.81,897.56,881.68,891.52,891.52,"13,230,100,000"
2024-11-22,868.88,880.48,868.62,877.02,877.02,"10,792,300,000"
2024-11-21,872.51,876.57,866.23,866.23,866.23,"4,502,600,000"
2024-11-20,880.79,883.13,873.35,875.13,875.13,"5,535,400,000"
2024-11-19,868.82,881.46,866.96,876.93,876.93,"9,068,600,000"
2024-11-18,869.72,872.82,865.65,867.74,867.74,"5,408,000,000"
2024-11-15,871.03,879.66,869.24,871.69,871.69,"3,657,000,000"
2024-11-14,885.39,887.59,875.70,875.70,875.70,"4,214,800,000"
2024-11-13,888.80,895.48,885.36,886.46,886.46,"4,410,600,000"
2024-11-12,879.88,887.89,876.69,884.52,884.52,"5,065,700,000"
2024-11-11,878.25,885.94,866.24,879.11,879.11,"4,567,000,000"
2024-11-08,891.23,895.33,883.08,884.14,884.14,"3,701,100,000"
2024-11-07,899.36,902.05,887.00,887.00,887.00,"4,520,600,000"
2024-11-06,920.74,921.77,899.44,901.43,901.43,"5,276,500,000"
2024-11-05,912.13,920.42,909.70,920.14,920.14,"4,375,900,000"
2024-11-04,912.60,917.42,901.78,913.42,913.42,"6,180,900,000"
2024-11-01,921.29,922.84,909.16,912.61,912.61,"3,626,300,000"
2024-10-31,924.57,931.48,921.41,921.41,921.41,"6,696,400,000"
2024-10-30,920.26,926.37,916.52,924.63,924.63,"3,827,200,000"
2024-10-29,932.89,937.08,927.39,930.07,930.07,"4,165,800,000"
2024-10-28,945.50,945.61,930.83,934.85,934.85,"5,428,000,000"
2024-10-25,947.29,951.42,940.92,943.25,943.25,"4,458,200,000"
2024-10-24,952.95,958.11,947.17,947.17,947.17,"5,289,100,000"
2024-10-23,951.17,955.83,950.86,954.76,954.76,"6,050,800,000"
2024-10-22,957.15,960.75,952.73,954.38,954.38,"10,813,300,000"
2024-10-21,965.08,966.13,957.10,961.39,961.39,"6,135,200,000"
2024-10-18,964.17,967.12,956.73,961.00,961.00,"3,207,900,000"
2024-10-17,951.69,963.88,950.64,958.58,958.58,"4,171,200,000"
2024-10-16,952.35,952.80,945.50,949.21,949.21,"6,132,500,000"
2024-10-15,941.66,950.26,938.73,948.61,948.61,"5,363,000,000"
2024-10-14,932.89,940.30,932.88,937.73,937.73,"7,026,100,000"
2024-10-11,936.92,938.78,932.24,933.24,933.24,"3,183,700,000"
2024-10-10,931.20,935.55,926.87,928.76,928.76,"3,826,900,000"
2024-10-09,939.16,945.78,931.00,931.13,931.13,"5,332,000,000"
2024-10-08,923.82,944.67,918.26,939.27,939.27,"5,802,800,000"
2024-10-07,929.12,934.11,921.27,927.37,927.37,"10,531,300,000"
2024-10-04,934.83,937.37,924.51,929.73,929.73,"10,826,800,000"
