[2025-02-14 21:14:44] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 21:14:44] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 21:14:44] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 21:14:44] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 21:14:52] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 21:14:52] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 21:14:52] [INFO] Berhasil memilih periode 1M.
[2025-02-14 21:14:52] [INFO] Beralih ke mode AUM...
[2025-02-14 21:15:09] [DEBUG] AUM | Periode 1M | Kursor 51 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:10] [DEBUG] Default | Periode 1M | Kursor 231 | Tanggal: 5 Feb 25 | Data: $1.19
[2025-02-14 21:15:10] [DEBUG] AUM | Periode 1M | Kursor 71 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:10] [DEBUG] Default | Periode 1M | Kursor 251 | Tanggal: 6 Feb 25 | Data: $1.19
[2025-02-14 21:15:10] [DEBUG] AUM | Periode 1M | Kursor 91 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:11] [DEBUG] Default | Periode 1M | Kursor 271 | Tanggal: 7 Feb 25 | Data: $1.18
[2025-02-14 21:15:11] [DEBUG] AUM | Periode 1M | Kursor 111 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:11] [DEBUG] Default | Periode 1M | Kursor 291 | Tanggal: 7 Feb 25 | Data: $1.18
[2025-02-14 21:15:11] [DEBUG] AUM | Periode 1M | Kursor 131 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:12] [DEBUG] Default | Periode 1M | Kursor 311 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 21:15:12] [DEBUG] AUM | Periode 1M | Kursor 151 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:12] [DEBUG] Default | Periode 1M | Kursor 331 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 21:15:12] [DEBUG] AUM | Periode 1M | Kursor 171 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:12] [DEBUG] AUM | Periode 1M | Kursor 191 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:12] [DEBUG] Default | Periode 1M | Kursor 351 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 21:15:13] [DEBUG] Default | Periode 1M | Kursor 371 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 21:15:13] [DEBUG] AUM | Periode 1M | Kursor 211 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:13] [DEBUG] Default | Periode 1M | Kursor 391 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 21:15:13] [DEBUG] AUM | Periode 1M | Kursor 231 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:14] [DEBUG] AUM | Periode 1M | Kursor 251 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:14] [DEBUG] Default | Periode 1M | Kursor 411 | Tanggal: 11 Feb 25 | Data: $1.19
[2025-02-14 21:15:14] [DEBUG] Default | Periode 1M | Kursor 431 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-14 21:15:14] [DEBUG] AUM | Periode 1M | Kursor 271 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:15] [DEBUG] Default | Periode 1M | Kursor 451 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-14 21:15:15] [DEBUG] AUM | Periode 1M | Kursor 291 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:15] [DEBUG] AUM | Periode 1M | Kursor 311 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:15] [DEBUG] Default | Periode 1M | Kursor 471 | Tanggal: 13 Feb 25 | Data: $1.20
[2025-02-14 21:15:15] [DEBUG] Default | Periode 1M | Kursor 491 | Tanggal: 13 Feb 25 | Data: $1.20
[2025-02-14 21:15:16] [DEBUG] AUM | Periode 1M | Kursor 331 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:16] [INFO] Scraping 1M (Default) selesai, total data: 51
[2025-02-14 21:15:16] [DEBUG] AUM | Periode 1M | Kursor 351 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:16] [DEBUG] AUM | Periode 1M | Kursor 371 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:17] [DEBUG] AUM | Periode 1M | Kursor 391 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:17] [DEBUG] AUM | Periode 1M | Kursor 411 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:18] [DEBUG] AUM | Periode 1M | Kursor 431 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:18] [DEBUG] AUM | Periode 1M | Kursor 451 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:18] [INFO] Scraping 1M (Default) selesai dalam 34.10 detik.
[2025-02-14 21:15:18] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (Default) selesai.
[2025-02-14 21:15:18] [DEBUG] AUM | Periode 1M | Kursor 471 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:19] [DEBUG] AUM | Periode 1M | Kursor 491 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:19] [INFO] Scraping 1M (AUM) selesai, total data: 51
[2025-02-14 21:15:21] [INFO] Scraping 1M (AUM) selesai dalam 36.89 detik.
[2025-02-14 21:15:21] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-02-14 21:15:21] [INFO] Data Batavia Technology Sharia Equity USD berhasil diperbarui dan disimpan ke database\Batavia Technology Sharia Equity USD.csv dan database\Batavia Technology Sharia Equity USD.json
[2025-02-14 21:15:21] [INFO] Scraping Batavia Technology Sharia Equity USD selesai dalam 36.90 detik.
[2025-02-14 21:15:21] [INFO] ===== Semua scraping selesai dalam 36.90 detik =====
