[2025-04-09 20:02:09] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-09 20:02:09] [INFO] Mulai scraping untuk ABF Indonesia Bond Index Fund (Total 2 periode)
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Beralih ke mode AUM...
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 1M.
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 3M.
[2025-04-09 20:02:32] [DEBUG] AUM | Periode 1M | Kursor 190 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:32] [DEBUG] Default | Periode 3M | Kursor 350 | Tanggal: 27 Mar 25 | Data: Rp54.67K
[2025-04-09 20:02:32] [DEBUG] Default | Periode 1M | Kursor 370 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:32] [DEBUG] AUM | Periode 1M | Kursor 210 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:33] [DEBUG] Default | Periode 3M | Kursor 370 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:33] [DEBUG] Default | Periode 1M | Kursor 390 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:33] [DEBUG] AUM | Periode 1M | Kursor 230 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:33] [DEBUG] Default | Periode 3M | Kursor 390 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:33] [DEBUG] Default | Periode 1M | Kursor 410 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:33] [DEBUG] AUM | Periode 1M | Kursor 250 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:33] [DEBUG] Default | Periode 3M | Kursor 410 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:33] [DEBUG] Default | Periode 1M | Kursor 430 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:33] [DEBUG] AUM | Periode 1M | Kursor 270 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:34] [DEBUG] Default | Periode 3M | Kursor 430 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:34] [DEBUG] Default | Periode 1M | Kursor 450 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:34] [DEBUG] AUM | Periode 1M | Kursor 290 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:34] [DEBUG] Default | Periode 3M | Kursor 450 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:34] [DEBUG] Default | Periode 1M | Kursor 470 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:34] [DEBUG] AUM | Periode 1M | Kursor 310 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:34] [DEBUG] Default | Periode 3M | Kursor 470 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:35] [DEBUG] Default | Periode 1M | Kursor 490 | Tanggal: 8 Apr 25 | Data: Rp54.63K
