[2025-04-08 21:14:03] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:14:03] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 3M.
[2025-04-08 21:14:08] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Beralih ke mode AUM...
[2025-04-08 21:14:23] [DEBUG] AUM | Periode 1M | Kursor -50 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:24] [DEBUG] Default | Periode 1M | Kursor 130 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:14:24] [DEBUG] Default | Periode 3M | Kursor 130 | Tanggal: 24 Feb 25 | Data: $1.13
[2025-04-08 21:14:24] [DEBUG] AUM | Periode 1M | Kursor -30 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:24] [DEBUG] Default | Periode 3M | Kursor 150 | Tanggal: 24 Feb 25 | Data: $1.13
[2025-04-08 21:14:24] [DEBUG] Default | Periode 1M | Kursor 150 | Tanggal: 18 Mar 25 | Data: $1.03
[2025-04-08 21:14:24] [DEBUG] AUM | Periode 1M | Kursor -10 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:24] [DEBUG] Default | Periode 3M | Kursor 170 | Tanggal: 26 Feb 25 | Data: $1.13
[2025-04-08 21:14:24] [DEBUG] Default | Periode 1M | Kursor 170 | Tanggal: 18 Mar 25 | Data: $1.03
[2025-04-08 21:14:25] [DEBUG] AUM | Periode 1M | Kursor 10 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:25] [DEBUG] Default | Periode 3M | Kursor 190 | Tanggal: 28 Feb 25 | Data: $1.10
[2025-04-08 21:14:25] [DEBUG] Default | Periode 1M | Kursor 190 | Tanggal: 19 Mar 25 | Data: $1.04
[2025-04-08 21:14:25] [DEBUG] AUM | Periode 1M | Kursor 30 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:25] [DEBUG] Default | Periode 3M | Kursor 210 | Tanggal: 3 Mar 25 | Data: $1.07
[2025-04-08 21:14:25] [DEBUG] Default | Periode 1M | Kursor 210 | Tanggal: 19 Mar 25 | Data: $1.04
[2025-04-08 21:14:25] [DEBUG] AUM | Periode 1M | Kursor 50 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:26] [DEBUG] Default | Periode 3M | Kursor 230 | Tanggal: 4 Mar 25 | Data: $1.07
[2025-04-08 21:14:26] [DEBUG] Default | Periode 1M | Kursor 230 | Tanggal: 20 Mar 25 | Data: $1.04
[2025-04-08 21:14:26] [DEBUG] AUM | Periode 1M | Kursor 70 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:26] [DEBUG] Default | Periode 3M | Kursor 250 | Tanggal: 5 Mar 25 | Data: $1.09
[2025-04-08 21:14:26] [DEBUG] Default | Periode 1M | Kursor 250 | Tanggal: 21 Mar 25 | Data: $1.04
