[2025-04-08 21:18:47] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:18:47] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:50] [INFO] Beralih ke mode AUM...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:51] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:19:00] [DEBUG] Default | Periode 1M | Kursor -150 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:19:01] [DEBUG] AUM | Periode 1M | Kursor -270 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:01] [DEBUG] Default | Periode 1M | Kursor -130 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:19:01] [DEBUG] AUM | Periode 1M | Kursor -250 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:01] [DEBUG] Default | Periode 1M | Kursor -110 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:19:02] [DEBUG] AUM | Periode 1M | Kursor -230 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:02] [DEBUG] Default | Periode 1M | Kursor -90 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-08 21:19:02] [DEBUG] AUM | Periode 1M | Kursor -210 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:02] [DEBUG] Default | Periode 1M | Kursor -70 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-08 21:19:02] [DEBUG] AUM | Periode 1M | Kursor -190 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:02] [DEBUG] Default | Periode 1M | Kursor -50 | Tanggal: 12 Mar 25 | Data: $1.03
[2025-04-08 21:19:03] [DEBUG] AUM | Periode 1M | Kursor -170 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:03] [DEBUG] Default | Periode 1M | Kursor -30 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-08 21:19:03] [DEBUG] AUM | Periode 1M | Kursor -150 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:03] [DEBUG] Default | Periode 1M | Kursor -10 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-08 21:19:04] [DEBUG] AUM | Periode 1M | Kursor -130 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:04] [DEBUG] Default | Periode 1M | Kursor 10 | Tanggal: 14 Mar 25 | Data: $1.04
[2025-04-08 21:19:04] [DEBUG] AUM | Periode 1M | Kursor -110 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:04] [DEBUG] Default | Periode 1M | Kursor 30 | Tanggal: 14 Mar 25 | Data: $1.04
