Date,Open,High,Low,Close,Adj Close,Volume
"2019-12-03,""6,119.90"",""6,148.37"",""6,107.64"",""6,133.90"",""6,133.90"",""52,634,500"""
"2019-12-04,""6,121.33"",""6,127.98"",""6,095.31"",""6,112.88"",""6,112.88"",""50,339,400"""
"2019-12-05,""6,132.04"",""6,157.93"",""6,131.59"",""6,152.12"",""6,152.12"",""52,261,600"""
"2019-12-06,""6,160.78"",""6,186.87"",""6,145.12"",""6,186.87"",""6,186.87"",""49,098,600"""
"2019-12-09,""6,194.08"",""6,210.78"",""6,180.84"",""6,193.79"",""6,193.79"",""54,834,500"""
"2019-12-10,""6,186.75"",""6,205.13"",""6,179.52"",""6,183.50"",""6,183.50"",""51,058,500"""
"2019-12-11,""6,190.58"",""6,204.60"",""6,171.93"",""6,180.10"",""6,180.10"",""49,556,800"""
"2019-12-12,""6,185.42"",""6,201.02"",""6,139.40"",""6,139.40"",""6,139.40"",""51,845,400"""
"2019-12-13,""6,181.06"",""6,197.32"",""6,167.64"",""6,197.32"",""6,197.32"",""48,546,800"""
"2019-12-16,""6,197.31"",""6,237.92"",""6,197.31"",""6,211.59"",""6,211.59"",""55,299,700"""
"2019-12-17,""6,223.44"",""6,244.35"",""6,205.63"",""6,244.35"",""6,244.35"",""53,264,500"""
"2019-12-18,""6,287.25"",""6,287.25"",""6,287.25"",""6,287.25"",""6,287.25"","
"2019-12-19,""6,274.39"",""6,281.42"",""6,235.84"",""6,249.93"",""6,249.93"",""47,624,800"""
"2019-12-20,""6,257.16"",""6,284.37"",""6,231.47"",""6,284.37"",""6,284.37"",""52,766,200"""
"2019-12-23,""6,309.67"",""6,315.72"",""6,270.54"",""6,305.91"",""6,305.91"",""39,077,900"""
"2019-12-26,""6,303.06"",""6,326.27"",""6,303.06"",""6,319.44"",""6,319.44"",""33,608,900"""
"2019-12-27,""6,321.57"",""6,337.34"",""6,312.38"",""6,329.31"",""6,329.31"",""42,100,200"""
"2019-12-30,""6,329.13"",""6,336.92"",""6,289.55"",""6,299.54"",""6,299.54"",""47,557,400"""
