Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,725.03,732.52,724.99,731.62,731.59,"3,693,300"
1997-07-02,731.75,734.02,727.45,730.16,730.13,"3,457,200"
1997-07-03,730.48,735.49,729.56,735.49,735.46,"2,738,300"
1997-07-04,735.83,736.60,733.89,736.60,736.57,"3,131,800"
1997-07-07,736.62,739.83,735.77,738.01,737.98,"2,714,600"
1997-07-08,738.02,741.54,737.83,740.83,740.80,"2,905,800"
1997-07-09,740.94,742.95,737.06,738.14,738.11,"3,066,100"
1997-07-10,738.17,738.40,724.25,729.15,729.12,"3,071,900"
1997-07-11,729.44,729.52,721.33,723.42,723.39,"3,247,000"
1997-07-14,723.69,725.20,719.52,722.50,722.47,"2,343,200"
1997-07-15,722.67,725.12,720.10,722.21,722.18,"2,713,000"
1997-07-16,723.68,725.23,721.20,723.50,723.47,"3,089,700"
1997-07-18,723.55,726.49,720.93,724.00,723.97,"2,838,900"
1997-07-21,724.39,724.67,710.61,712.40,712.37,"2,690,300"
1997-07-22,712.67,713.84,710.15,711.44,711.41,"2,524,200"
1997-07-23,711.77,718.19,711.77,718.19,718.16,"2,735,900"
1997-07-24,718.54,720.58,709.82,712.05,712.02,"3,635,800"
1997-07-25,712.05,712.27,707.42,710.06,710.03,"2,639,200"
1997-07-28,710.50,712.30,709.32,710.82,710.79,"5,210,300"
1997-07-29,710.82,716.35,710.82,716.35,716.33,"2,671,000"
1997-07-30,716.43,721.98,716.32,721.98,721.95,"2,758,300"
1997-07-31,722.34,724.25,717.00,721.27,721.24,"5,922,800"
1997-08-01,721.50,722.22,719.06,721.77,721.74,"2,391,300"
1997-08-04,721.25,721.90,717.36,718.71,718.68,"2,661,000"
1997-08-05,718.80,719.93,711.25,713.88,713.85,"1,915,500"
1997-08-06,713.98,714.05,695.75,699.86,699.83,"3,407,500"
1997-08-07,699.86,699.86,673.72,677.94,677.91,"3,212,300"
1997-08-08,677.94,684.13,671.75,675.44,675.41,"3,509,400"
1997-08-11,675.44,675.44,656.58,658.17,658.14,"2,561,500"
1997-08-12,658.62,667.83,647.18,662.95,662.92,"2,960,100"
1997-08-13,662.36,663.55,654.19,658.60,658.58,"1,747,700"
1997-08-14,658.60,660.54,638.62,643.01,642.99,"3,811,300"
1997-08-15,641.91,641.91,611.62,617.71,617.68,"3,867,800"
1997-08-18,617.71,617.71,565.78,599.64,599.61,"5,843,700"
1997-08-19,598.90,612.21,585.58,590.53,590.51,"6,824,800"
1997-08-20,590.15,595.84,589.22,593.17,593.15,"3,229,700"
1997-08-21,594.81,610.31,594.81,603.06,603.04,"4,510,900"
1997-08-22,602.82,602.82,570.12,574.40,574.37,"4,031,400"
1997-08-25,572.41,572.41,532.72,540.93,540.91,"3,478,000"
1997-08-26,540.42,556.72,517.40,554.24,554.22,"5,063,400"
1997-08-27,554.24,561.25,551.98,555.46,555.44,"4,125,500"
1997-08-28,554.69,554.69,528.41,530.37,530.35,"3,166,200"
1997-08-29,529.07,529.07,491.91,493.96,493.94,"4,245,500"
1997-09-01,493.60,499.73,484.02,485.97,485.95,"3,412,000"
1997-09-02,486.53,489.95,475.47,479.01,479.00,"2,311,000"
1997-09-03,485.28,513.37,485.28,512.59,512.57,"5,010,400"
1997-09-04,518.40,533.87,518.40,533.87,533.85,"5,113,600"
1997-09-05,540.31,594.11,540.31,594.11,594.09,"8,341,900"
1997-09-08,598.53,614.87,589.98,600.31,600.29,"8,150,000"
1997-09-09,606.40,615.13,593.11,598.00,597.98,"5,669,400"
1997-09-10,597.79,598.60,572.76,575.02,574.99,"3,974,100"
1997-09-11,574.22,574.22,554.21,556.14,556.11,"3,290,000"
1997-09-12,555.31,555.31,544.14,546.64,546.62,"5,810,200"
1997-09-15,547.65,554.87,547.21,550.76,550.74,"2,532,200"
1997-09-16,551.05,554.29,533.28,534.83,534.81,"3,512,400"
1997-09-17,534.50,535.61,524.35,526.74,526.72,"2,208,800"
1997-09-18,526.33,526.33,518.94,524.27,524.25,"2,336,000"
1997-09-19,524.27,531.51,524.27,531.08,531.06,"2,782,100"
1997-09-22,531.08,539.11,530.59,535.60,535.58,"3,267,300"
1997-09-23,536.14,539.82,534.94,539.48,539.46,"1,995,300"
1997-09-24,539.48,556.33,539.48,553.65,553.62,"3,408,400"
