[2025-02-14 11:14:27] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 11:14:27] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] Berhasil memilih periode 1M.
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-14 11:14:45] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -75 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:45] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 105 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-02-14 11:14:45] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -55 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:46] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 125 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 11:14:46] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -35 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:46] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 145 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 11:14:46] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -15 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:46] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 165 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 11:14:47] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 5 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:47] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 185 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 11:14:47] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 25 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:47] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 205 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-14 11:14:47] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 45 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:47] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 225 | Tanggal: 5 Feb 25 | Data: $1.19
[2025-02-14 11:14:48] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 65 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:48] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 245 | Tanggal: 5 Feb 25 | Data: $1.19
[2025-02-14 11:14:48] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 265 | Tanggal: 6 Feb 25 | Data: $1.19
[2025-02-14 11:14:48] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 85 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:49] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 105 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:49] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 285 | Tanggal: 7 Feb 25 | Data: $1.18
[2025-02-14 11:14:49] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 305 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 11:14:49] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 125 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:49] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 325 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 11:14:49] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 145 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:50] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 345 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 11:14:50] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 165 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:50] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 365 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-02-14 11:14:50] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 185 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:51] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 385 | Tanggal: 11 Feb 25 | Data: $1.19
[2025-02-14 11:14:51] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 205 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:51] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 405 | Tanggal: 11 Feb 25 | Data: $1.19
[2025-02-14 11:14:51] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 225 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:51] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 245 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:51] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 425 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-14 11:14:52] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 445 | Tanggal: 12 Feb 25 | Data: $1.19
[2025-02-14 11:14:52] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 265 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:52] [INFO] Scraping 1M (Default) selesai, total data: 46
[2025-02-14 11:14:52] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 285 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:53] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 305 | Tanggal: 1 Jan 25 | Data: $83.52M
