[2025-02-05 16:56:08] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-05 16:56:08] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 1Y (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 3M.
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 1Y.
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -35 | Tanggal: 17 Des 24 | Data: $1.21
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -35 | Tanggal: 22 Jul 24 | Data: $1.14
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -175 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -15 | Tanggal: 29 Jul 24 | Data: $1.09
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -15 | Tanggal: 19 Des 24 | Data: $1.17
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -155 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 5 | Tanggal: 23 Des 24 | Data: $1.20
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 5 | Tanggal: 7 Agt 24 | Data: $1.01
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -135 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 25 | Tanggal: 23 Des 24 | Data: $1.20
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 25 | Tanggal: 15 Agt 24 | Data: $1.13
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -115 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 45 | Tanggal: 26 Agt 24 | Data: $1.12
[2025-02-05 16:56:23] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 45 | Tanggal: 27 Des 24 | Data: $1.18
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -95 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 65 | Tanggal: 2 Sep 24 | Data: $1.13
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 65 | Tanggal: 27 Des 24 | Data: $1.18
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -75 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 85 | Tanggal: 9 Sep 24 | Data: $1.06
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 85 | Tanggal: 30 Des 24 | Data: $1.17
[2025-02-05 16:56:24] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -55 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 105 | Tanggal: 18 Sep 24 | Data: $1.10
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 105 | Tanggal: 2 Jan 25 | Data: $1.17
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -35 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 125 | Tanggal: 3 Jan 25 | Data: $1.19
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 125 | Tanggal: 26 Sep 24 | Data: $1.15
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -15 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 145 | Tanggal: 7 Okt 24 | Data: $1.13
[2025-02-05 16:56:25] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 145 | Tanggal: 6 Jan 25 | Data: $1.21
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 5 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 165 | Tanggal: 7 Jan 25 | Data: $1.17
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 165 | Tanggal: 14 Okt 24 | Data: $1.18
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 25 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 185 | Tanggal: 22 Okt 24 | Data: $1.15
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 185 | Tanggal: 9 Jan 25 | Data: $1.18
[2025-02-05 16:56:26] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 45 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 205 | Tanggal: 30 Okt 24 | Data: $1.16
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 205 | Tanggal: 13 Jan 25 | Data: $1.16
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 65 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 225 | Tanggal: 8 Nov 24 | Data: $1.17
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 225 | Tanggal: 13 Jan 25 | Data: $1.16
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 85 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 245 | Tanggal: 15 Jan 25 | Data: $1.19
[2025-02-05 16:56:27] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 245 | Tanggal: 18 Nov 24 | Data: $1.15
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 105 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 265 | Tanggal: 25 Nov 24 | Data: $1.17
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 265 | Tanggal: 20 Jan 25 | Data: $1.20
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 125 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 285 | Tanggal: 20 Jan 25 | Data: $1.20
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 285 | Tanggal: 3 Des 24 | Data: $1.19
[2025-02-05 16:56:28] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 145 | Tanggal: 1 Nov 24 | Data: $81.08M
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 305 | Tanggal: 12 Des 24 | Data: $1.19
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 305 | Tanggal: 22 Jan 25 | Data: $1.24
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 165 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 325 | Tanggal: 24 Jan 25 | Data: $1.22
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 325 | Tanggal: 20 Des 24 | Data: $1.19
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 185 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 345 | Tanggal: 30 Des 24 | Data: $1.17
[2025-02-05 16:56:29] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 345 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 205 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 365 | Tanggal: 6 Jan 25 | Data: $1.21
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 365 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 225 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 385 | Tanggal: 14 Jan 25 | Data: $1.16
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 385 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 245 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 405 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-05 16:56:30] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 405 | Tanggal: 23 Jan 25 | Data: $1.23
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 265 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 425 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 425 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 285 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor 445 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor 445 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-05 16:56:31] [INFO] Scraping 3M (Default) selesai, total data: 46
[2025-02-05 16:56:31] [INFO] Scraping 1Y (Default) selesai, total data: 46
[2025-02-05 16:56:31] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 305 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:32] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 325 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:32] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 345 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:33] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 365 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:33] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 385 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:33] [INFO] Scraping 3M (Default) selesai dalam 25.37 detik.
